Scheme Name,Category,Fund manager,ISIN,Manager strike rate,AUM in Cr,Expense ratio,Current Status,Fund score New,Percentile Rank,Strength,Weakness,Who should invest,Who should avoid investing
Aditya Birla SL Midcap Fund(G)-Direct Plan,Mid Cap Fund,Anil Shah,INF209K01Q30,67%,3600,1.18%,Ranked,36,38%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 66%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who have experienced market corrections and understand the risk and reward involved
Investors with long term investment horizon
","Those who panic and exit their investments during sharp corrections in the market
"
Invesco India Multicap Fund(G)-Direct Plan,Multi Cap Fund,Pranav Gokhale,INF205K01MS2,30%,2398,0.65%,Ranked,59,76%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Sharpe Ratio - Excess returns per unit of risk is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","Unsatisfactory - Fund Manger strike rate is 30%.
Treynor Ratio - Excess returns by portfolio beta is low.
Jensen's Alpha - Ability to beat the benchmark is low.","Those who are looking for diversified investment options in large cap, mid cap and small cap funds with minimum 25% asset allocation at any given point
","Those who would like to manage their multiple asset allocation (large cap, mid cap and small cap, etc., funds) on their own and do not want it in a single fund
"
Quant Active Fund(G)-Direct Plan,Multi Cap Fund,Ankit Pande,INF966L01614,93%,3480,0.58%,Ranked,99,100%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Very good - Fund Manager strike rate is 92%.
Treynor Ratio - Excess returns by portfolio beta is high.
Sharpe Ratio - Excess returns per unit of risk is high.
Jensen's Alpha - Ability to beat the benchmark is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","
","Those who are looking for diversified investment options in large cap, mid cap and small cap funds with minimum 25% asset allocation at any given point
","Those who would like to manage their multiple asset allocation (large cap, mid cap and small cap, etc., funds) on their own and do not want it in a single fund
"
Sundaram Multi Cap Fund(G)-Direct Plan,Multi Cap Fund,Sudhir Kedia,INF173K01FQ0,50%,1918,0.96%,Ranked,62,82%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 50%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking for diversified investment options in large cap, mid cap and small cap funds with minimum 25% asset allocation at any given point

","Those who would like to manage their multiple asset allocation (large cap, mid cap and small cap, etc., funds) on their own and do not want it in a single fund
"
ICICI Pru Multicap Fund(G)-Direct Plan,Multi Cap Fund,Sankaran Naren,INF109K014O9,57%,7230,1.02%,Ranked,46,71%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 56%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking for diversified investment options in large cap, mid cap and small cap funds with minimum 25% asset allocation at any given point

","Those who would like to manage their multiple asset allocation (large cap, mid cap and small cap, etc., funds) on their own and do not want it in a single fund
"
Nippon India Multi Cap Fund(G)-Direct Plan,Multi Cap Fund,Sailesh Raj Bhan,INF204K01XF9,75%,14373,1.09%,Ranked,80,94%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 75%.
Treynor Ratio - Excess returns by portfolio beta is high.
Jensen's Alpha - Ability to beat the benchmark is high.","Sharpe Ratio - Excess returns per unit of risk is low.
Sortino Ratio - Excess returns per unit of downside risk is low.
","Those who are looking for diversified investment options in large cap, mid cap and small cap funds with minimum 25% asset allocation at any given point
","Those who would like to manage their multiple asset allocation (large cap, mid cap and small cap, etc., funds) on their own and do not want it in a single fund
"
Mahindra Manulife Multi Cap Badhat Yojana(G)-Direct Plan,Multi Cap Fund,Manish Lodha,INF174V01341,70%,1563,0.42%,Ranked,66,88%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 70%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking for diversified investment options in large cap, mid cap and small cap funds with minimum 25% asset allocation at any given point
","Those who would like to manage their multiple asset allocation (large cap, mid cap and small cap, etc., funds) on their own and do not want it in a single fund
"
Baroda BNP Paribas Multi Cap Fund(G)-Direct Plan,Multi Cap Fund,Sanjay Chawla,INF955L01AG0,38%,1731,1.15%,Ranked,34,65%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 38%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking for diversified investment options in large cap, mid cap and small cap funds with minimum 25% asset allocation at any given point

","Those who would like to manage their multiple asset allocation (large cap, mid cap and small cap, etc., funds) on their own and do not want it in a single fund
"
Quant Small Cap Fund(G)-direct Plan,Small cap Fund,Ankit Pande,INF966L01689,93%,2580,0.62%,Ranked,72,92%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Very good - Fund Manager strike rate is 92%.
Treynor Ratio - Excess returns by portfolio beta is high.
Sharpe Ratio - Excess returns per unit of risk is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","Jensen's Alpha - Ability to beat the benchmark is low.
","Investors who have experienced sharp market corrections
Those with patience to stay invested for 1 to 2 decades to reap benefits of smallcap funds.
Those who understand the high risk and reward involved
","Those who panic and exit their investments during sharp corrections
"
SBI Small Cap Fund(G)-Direct Plan,Small cap Fund,R. Srinivasan,INF200K01T51,73%,15335,0.68%,Ranked,74,100%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 73%.
Treynor Ratio - Excess returns by portfolio beta is high.
Sharpe Ratio - Excess returns per unit of risk is high.
Jensen's Alpha - Ability to beat the benchmark is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","
","Investors who have experienced sharp market corrections
Those with patience to stay invested for 1 to 2 decades to reap benefits of smallcap funds.
Those who understand the high risk and reward involved
","Those who panic and exit their investments during sharp corrections
"
Nippon India Small Cap Fund(G)-Direct Plan,Small cap Fund,Samir Rachh,INF204K01K15,67%,23765,0.86%,Ranked,72,88%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 66%.
Sharpe Ratio - Excess returns per unit of risk is high.
Jensen's Alpha - Ability to beat the benchmark is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","Treynor Ratio - Excess returns by portfolio beta is low.
","Investors who have experienced sharp market corrections
Those with patience to stay invested for 1 to 2 decades to reap benefits of smallcap funds.
Those who understand the high risk and reward involved
","Those who panic and exit their investments during sharp corrections
"
Axis Small Cap Fund(G)-Direct Plan,Small cap Fund,Anupam Tiwari,INF846K01K35,71%,11358,0.51%,Ranked,72,96%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 71%.
Treynor Ratio - Excess returns by portfolio beta is high.
Sharpe Ratio - Excess returns per unit of risk is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","Jensen's Alpha - Ability to beat the benchmark is low.
","Investors who have experienced sharp market corrections
Those with patience to stay invested for 1 to 2 decades to reap benefits of smallcap funds.
Those who understand the high risk and reward involved
","Those who panic and exit their investments during sharp corrections
"
Kotak Small Cap Fund(G)-Direct Plan,Small cap Fund,Pankaj Tibrewal,INF174K01KT2,56%,8498,0.59%,Ranked,63,83%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Sharpe Ratio - Excess returns per unit of risk is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","Unsatisfactory - Fund Manger strike rate is 55%.
Treynor Ratio - Excess returns by portfolio beta is low.
Jensen's Alpha - Ability to beat the benchmark is low.","Investors who have experienced sharp market corrections
Those with patience to stay invested for 1 to 2 decades to reap benefits of smallcap funds.
Those who understand the high risk and reward involved","Those who panic and exit their investments during sharp corrections
"
Franklin India Smaller Cos Fund(G)-Direct Plan,Small cap Fund,R. Janakiraman,INF090I01IQ4,63%,7422,1.08%,Ranked,56,71%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 62%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Investors who have experienced sharp market corrections
Those with patience to stay invested for 1 to 2 decades to reap benefits of smallcap funds.
Those who understand the high risk and reward involved
","Those who panic and exit their investments during sharp corrections
"
DSP Small Cap Fund(G)-Direct Plan,Small cap Fund,Vinit Sambre,INF740K01QD1,62%,9231,0.96%,Ranked,60,75%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 61%.
Jensen's Alpha - Ability to beat the benchmark is high.","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Investors who have experienced sharp market corrections
Those with patience to stay invested for 1 to 2 decades to reap benefits of smallcap funds.
Those who understand the high risk and reward involved","Those who panic and exit their investments during sharp corrections
"
HSBC Small Cap Fund(G)-Direct Plan,Small cap Fund,Venugopal Manghat,INF917K01QA1,40%,8866,0.78%,Ranked,62,79%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Treynor Ratio - Excess returns by portfolio beta is high.
Jensen's Alpha - Ability to beat the benchmark is high.","Unsatisfactory - Fund Manger strike rate is 40%.
Sharpe Ratio - Excess returns per unit of risk is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Investors who have experienced sharp market corrections
Those with patience to stay invested for 1 to 2 decades to reap benefits of smallcap funds.
Those who understand the high risk and reward involved","Those who panic and exit their investments during sharp corrections
"
ICICI Pru Smallcap Fund(G)-Direct Plan,Small cap Fund,Harish Bihani,INF109K015M0,50%,4591,0.81%,Ranked,49,58%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 50%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Investors who have experienced sharp market corrections
Those with patience to stay invested for 1 to 2 decades to reap benefits of smallcap funds.
Those who understand the high risk and reward involved
","Those who panic and exit their investments during sharp corrections
"
HDFC Small Cap Fund(G)-Direct Plan,Small cap Fund,Chirag Setalvad,INF179KA1RW5,64%,14689,0.82%,Ranked,51,63%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 63%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Investors who have experienced sharp market corrections
Those with patience to stay invested for 1 to 2 decades to reap benefits of smallcap funds.
Those who understand the high risk and reward involved
","Those who panic and exit their investments during sharp corrections
"
Aditya Birla SL Small Cap Fund(G)-Direct Plan,Small cap Fund,Vishal Gajwani,INF209K01WN4,0%,3039,1.00%,Ranked,28,50%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Investors who have experienced sharp market corrections
Those with patience to stay invested for 1 to 2 decades to reap benefits of smallcap funds.
Those who understand the high risk and reward involved
","Those who panic and exit their investments during sharp corrections
"
Union Small Cap Fund(G)-Direct Plan,Small cap Fund,Vinay Paharia,INF582M01BU9,71%,726,1.29%,Ranked,52,67%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 70%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Investors who have experienced sharp market corrections
Those with patience to stay invested for 1 to 2 decades to reap benefits of smallcap funds.
Those who understand the high risk and reward involved
","Those who panic and exit their investments during sharp corrections
"
Sundaram Small Cap Fund(G)-Direct Plan,Small cap Fund,Ravi Gopalakrishnan,INF903J01NK9,57%,2071,1.00%,Ranked,44,54%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 57%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Investors who have experienced sharp market corrections
Those with patience to stay invested for 1 to 2 decades to reap benefits of smallcap funds.
Those who understand the high risk and reward involved
","Those who panic and exit their investments during sharp corrections
"
ICICI Pru Value Discovery Fund(G)-Direct Plan,Value Fund,Sankaran Naren,INF109K012K1,57%,27795,1.22%,Ranked,91,100%,"Moderate risk - Fund has positive skewness and positive kurtosis, and may generate higher than average returns.
Treynor Ratio - Excess returns by portfolio beta is high.
Sharpe Ratio - Excess returns per unit of risk is high.
Jensen's Alpha - Ability to beat the benchmark is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","Unsatisfactory - Fund Manger strike rate is 56%.
","Those looking for relatively high risk compared to large cap funds
Investors who are looking for a value buy (value buy is investing in stocks which are trading at a significantly discounted price for reasons which are not justified over a longer time)
","Investors having a conservative approach towards investments
"
HSBC Value Fund(G)-Direct Plan,Value Fund,Venugopal Manghat,INF917K01HD4,40%,8197,0.87%,Ranked,62,84%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Sharpe Ratio - Excess returns per unit of risk is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","Unsatisfactory - Fund Manger strike rate is 40%.
Treynor Ratio - Excess returns by portfolio beta is low.
Jensen's Alpha - Ability to beat the benchmark is low.","Those looking for relatively high risk compared to large cap funds
Investors who are looking for a value buy (value buy is investing in stocks which are trading at a significantly discounted price for reasons which are not justified over a longer time)
","Investors having a conservative approach towards investments
"
IDFC Sterling Value Fund(G)-Direct Plan,Value Fund,Anoop Bhaskar,INF194K01Z85,61%,5219,0.84%,Ranked,66,89%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 61%.
Treynor Ratio - Excess returns by portfolio beta is high.
Sharpe Ratio - Excess returns per unit of risk is high.
Jensen's Alpha - Ability to beat the benchmark is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","
","Those looking for relatively high risk compared to large cap funds
Investors who are looking for a value buy (value buy is investing in stocks which are trading at a significantly discounted price for reasons which are not justified over a longer time)
","Investors having a conservative approach towards investments
"
Nippon India Value Fund(G)-Direct Plan,Value Fund,Meenakshi Dawar,INF204K01K49,53%,5001,1.25%,Ranked,46,74%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 53%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those looking for relatively high risk compared to large cap funds
Investors who are looking for a value buy (value buy is investing in stocks which are trading at a significantly discounted price for reasons which are not justified over a longer time)
","Investors having a conservative approach towards investments
"
HDFC Capital Builder Value Fund(G)-Direct Plan,Value Fund,Gopal Agrawal,INF179K01VC4,76%,5741,1.01%,Ranked,45,68%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 76%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those looking for relatively high risk compared to large cap funds
Investors who are looking for a value buy (value buy is investing in stocks which are trading at a significantly discounted price for reasons which are not justified over a longer time)
","Investors having a conservative approach towards investments
"
Tata Equity P/E Fund(G)-Direct Plan,Value Fund,Sonam Udasi,INF277K01ND1,35%,5494,0.89%,Ranked,49,79%,"Moderate risk - Fund has positive skewness and positive kurtosis, and may generate higher than average returns.
","Unsatisfactory - Fund Manger strike rate is 35%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those looking for relatively high risk compared to large cap funds
Investors who are looking for a value buy (value buy is investing in stocks which are trading at a significantly discounted price for reasons which are not justified over a longer time)
","Investors having a conservative approach towards investments
"
UTI Value Opp Fund(G)-Direct Plan,Value Fund,Amit Premchandani,INF789F01VB2,33%,7194,1.19%,Ranked,39,63%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 33%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those looking for relatively high risk compared to large cap funds
Investors who are looking for a value buy (value buy is investing in stocks which are trading at a significantly discounted price for reasons which are not justified over a longer time)
","Investors having a conservative approach towards investments
"
Aditya Birla SL Pure Value Fund(G)-Direct Plan,Value Fund,Kunal Sangoi,INF209K01WQ7,33%,4125,1.11%,Ranked,38,58%,"Moderate risk - Fund has positive skewness and positive kurtosis, and may generate higher than average returns.
","Unsatisfactory - Fund Manger strike rate is 33%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those looking for relatively high risk compared to large cap funds
Investors who are looking for a value buy (value buy is investing in stocks which are trading at a significantly discounted price for reasons which are not justified over a longer time)
","Investors having a conservative approach towards investments
"
Quantum Long Term Equity Value Fund(G)-Direct Plan,Value Fund,George Thomas,INF082J01036,50%,910,1.29%,Ranked,31,53%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 50%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those looking for relatively high risk compared to large cap funds
Investors who are looking for a value buy (value buy is investing in stocks which are trading at a significantly discounted price for reasons which are not justified over a longer time)
","Investors having a conservative approach towards investments
"
Templeton India Value Fund(G)-Direct Plan,Value Fund,Anand Radhakrishnan,INF090I01GY2,58%,845,1.39%,Ranked,71,95%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Treynor Ratio - Excess returns by portfolio beta is high.
Jensen's Alpha - Ability to beat the benchmark is high.","Unsatisfactory - Fund Manger strike rate is 57%.
Sharpe Ratio - Excess returns per unit of risk is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those looking for relatively high risk compared to large cap funds
Investors who are looking for a value buy (value buy is investing in stocks which are trading at a significantly discounted price for reasons which are not justified over a longer time)
","Investors having a conservative approach towards investments
"
Sundaram Dividend Yield Fund(G)-Direct Plan,Dividend Yield,Ratish Varier,INF173K01EV3,58%,359,1.02%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 58%.","Those looking for relatively low volatile funds
Those who are looking for high dividend yielding funds as the fund manager invests in high dividend yielding stocks","Those who are not focused on dividends but long term aggressive investments
"
Tata Dividend Yield Fund(G)-Direct Plan,Dividend Yield,Sailesh Jain,INF277K015Z8,31%,562,0.73%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 30%.","Those looking for relatively low volatile funds
Those who are looking for high dividend yielding funds as the fund manager invests in high dividend yielding stocks","Those who are not focused on dividends but long term aggressive investments
"
HDFC Dividend Yield Fund(G)-Direct Plan,Dividend Yield,Gopal Agrawal,INF179KC1AO6,76%,3112,0.43%,Ineligible,#N/A,#N/A,Satisfactory - Fund Manager strike rate is 76%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.","Those looking for relatively low volatile funds
Those who are looking for high dividend yielding funds as the fund manager invests in high dividend yielding stocks","Those who are not focused on dividends but long term aggressive investments
"
IDBI Dividend Yield Fund(G)-Direct Plan,Dividend Yield,Alok Ranjan,INF397L01LC1,33%,94,1.50%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 33%.","Those looking for relatively low volatile funds
Those who are looking for high dividend yielding funds as the fund manager invests in high dividend yielding stocks","Those who are not focused on dividends but long term aggressive investments
"
HSBC Tax Saver Equity Fund(G)-Direct Plan,ELSS,Gautam Bhupal,INF336L01EE0,17%,199,1.28%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 16%.","Those who are looking to save their income tax under section 8C and create wealth in the long run
","Those who are looking for an open ended fund and do not want any lock-in period
"
Aditya Birla SL Tax Plan(G)-Direct Plan,ELSS,Atul Penkar,INF209K01VV9,0%,370,0.95%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is%.","Those who are looking to save their income tax under section 8C and create wealth in the long run
","Those who are looking for an open ended fund and do not want any lock-in period
"
Edelweiss Long Term Equity Fund (Tax Savings)(G)-Direct Plan,ELSS,Trideep Bhattacharya,INF754K01CA8,50%,216,0.69%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 50%.","Those who are looking to save their income tax under section 8C and create wealth in the long run
","Those who are looking for an open ended fund and do not want any lock-in period
"
JM Tax Gain Fund(G)-Direct Plan,ELSS,Chaitanya Choksi,INF192K01CE3,33%,74,1.52%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 33%.","Those who are looking to save their income tax under section 8C and create wealth in the long run
","Those who are looking for an open ended fund and do not want any lock-in period
"
Taurus Tax Shield Fund(G)-Direct Plan,ELSS,Ramneek Kundra,INF044D01CG6,100%,64,1.73%,Ineligible,#N/A,#N/A,Very good - Fund Manager strike rate is 100%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who are looking to save their income tax under section 8C and create wealth in the long run,Those who are looking for an open ended fund and do not want any lock-in period
LIC MF Tax Plan(G)-Direct Plan,ELSS,Amit Nadekar,INF767K01EM1,50%,424,1.47%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 50%.","Those who are looking to save their income tax under section 8C and create wealth in the long run
","Those who are looking for an open ended fund and do not want any lock-in period
"
Quantum Tax Saving Fund(G)-Direct Plan,ELSS,George Thomas,INF082J01069,50%,117,1.29%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 50%.","Those who are looking to save their income tax under section 8C and create wealth in the long run
","Those who are looking for an open ended fund and do not want any lock-in period
"
WOC Tax Saver Fund(G)-Direct Plan,ELSS,Ramesh Mantri,INF03VN01621,100%,22,0.68%,Ineligible,#N/A,#N/A,Very good - Fund Manager strike rate is 100%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who are looking to save their income tax under section 8C and create wealth in the long run,Those who are looking for an open ended fund and do not want any lock-in period
IDBI Equity Advantage Fund(G)-Direct Plan,ELSS,Alok Ranjan,INF397L01EC6,33%,504,1.20%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 33%.","Those who are looking to save their income tax under section 8C and create wealth in the long run
","Those who are looking for an open ended fund and do not want any lock-in period
"
IIFL ELSS Nifty 50 Tax Saver Index Fund(G)-Direct Plan,ELSS,Parijat Garg,INF579M01AN2,100%,504,1.20%,Ineligible,#N/A,#N/A,Very good - Fund Manager strike rate is 100%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who are looking to save their income tax under section 8C and create wealth in the long run,Those who are looking for an open ended fund and do not want any lock-in period
Indiabulls Tax Savings Fund(G)-Direct Plan,ELSS,Sumit Bhatnagar,INF666M01DK7,17%,42,0.50%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 16%.","Those who are looking to save their income tax under section 8C and create wealth in the long run
","Those who are looking for an open ended fund and do not want any lock-in period
"
ITI Long Term Equity Fund(G)-Direct Plan,ELSS,Rohan Korde,INF00XX01390,56%,160,0.44%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 55%.","Those who are looking to save their income tax under section 8C and create wealth in the long run
","Those who are looking for an open ended fund and do not want any lock-in period
"
Mahindra Manulife ELSS Kar Bachat Yojana(G)-Direct Plan,ELSS,Fatema Pacha,INF174V01093,67%,534,0.72%,Ineligible,#N/A,#N/A,Satisfactory - Fund Manager strike rate is 66%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who are looking to save their income tax under section 8C and create wealth in the long run,Those who are looking for an open ended fund and do not want any lock-in period
Navi ELSS Tax Saver Fund(G)-Direct Plan,ELSS,Aditya Mulki,INF959L01CD5,25%,62,0.40%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 25%.","Those who are looking to save their income tax under section 8C and create wealth in the long run
","Those who are looking for an open ended fund and do not want any lock-in period
"
Parag Parikh Tax Saver Fund(G)-Direct Plan,ELSS,Rajeev Thakkar,INF879O01100,100%,901,0.83%,Ineligible,#N/A,#N/A,Very good - Fund Manager strike rate is 100%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who are looking to save their income tax under section 8C and create wealth in the long run,Those who are looking for an open ended fund and do not want any lock-in period
PGIM India ELSS Tax Saver Fund(G)-Direct Plan,ELSS,Srinivas Rao Ravuri,INF663L01FN5,67%,454,1.00%,Ineligible,#N/A,#N/A,Satisfactory - Fund Manager strike rate is 66%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who are looking to save their income tax under section 8C and create wealth in the long run,Those who are looking for an open ended fund and do not want any lock-in period
